algorithm,twenty,fourty,sixty,eighty,hundred,time
gb32_hybrid,4,2,2,1,1,0.003602799999976014
ssl3-md5,3,3,0,2,2,0.003848299999981464
sha1,2,0,1,1,6,0.0038766999999552353
rmd160,1,1,3,1,4,0.003921399999967434
ssl3-sha1,0,2,3,4,1,0.003995700000018587
md5WithRSAEncryption,0,2,4,1,3,0.00408369999995557
sha256,2,4,3,1,0,0.004237800000055358
ripemd160WithRSA,0,1,4,2,3,0.004376800000000003
RSA-SHA512/224,2,2,1,1,4,0.004454199999986486
md5,3,0,2,5,0,0.0044934999999895805
sha3-256,4,1,4,0,1,0.004511699999966368
ripemd160,3,4,2,0,1,0.0045256000000108544
shake128,2,3,2,3,0,0.004540299999985109
sha256WithRSAEncryption,1,2,2,2,3,0.004547500000035143
sha224WithRSAEncryption,3,2,2,3,0,0.0045860000000175205
sha512,2,4,1,2,1,0.004699500000015178
RSA-SHA512/256,4,2,0,2,2,0.004732700000022305
ripemd,3,1,4,0,2,0.0047502000000349655
RSA-SHA1-2,2,3,2,2,1,0.004818000000022948
sm3WithRSAEncryption,4,2,2,0,2,0.004818699999987075
id-rsassa-pkcs1-v1_5-with-sha3-256,1,2,4,2,1,0.004836899999918387
shake256,2,2,3,1,2,0.004857699999979559
RSA-SHA3-256,3,0,0,4,3,0.004889900000011949
sha224,1,1,2,4,2,0.004930199999989782
id-rsassa-pkcs1-v1_5-with-sha3-512,2,1,2,5,0,0.00495680000003631
sha384,2,1,3,1,3,0.004962700000100994
sha3-224,2,4,2,0,2,0.004978600000026745
sha512-224,1,3,1,3,2,0.005020899999954054
RSA-SHA3-512,0,2,1,4,3,0.005067499999995562
sha1WithRSAEncryption,1,1,4,2,2,0.005084799999963252
RSA-SHA256,4,3,2,0,1,0.005109399999969355
sha512WithRSAEncryption,1,4,0,1,4,0.005110899999976937
blake2s256,3,2,2,1,2,0.005122000000005756
RSA-SHA1,2,0,3,3,2,0.005123299999991104
md5-sha1,1,0,3,1,5,0.005179100000009385
sha512-256WithRSAEncryption,3,1,0,3,3,0.005202499999973043
sha512-256,2,5,2,0,1,0.00524790000001758
RSA-SHA3-384,0,4,2,3,1,0.005290999999988344
id-rsassa-pkcs1-v1_5-with-sha3-384,1,2,1,2,4,0.005373799999961193
sha512-224WithRSAEncryption,3,3,2,2,0,0.00547380000002704
sha3-384,3,1,0,4,2,0.0055125999999518175
sm3,5,1,2,1,1,0.0056032000000413975
sha3-512,0,1,3,3,3,0.0057247000000188565
RSA-SHA3-224,0,2,2,4,2,0.00573900000008507
RSA-SM3,2,1,4,1,2,0.005861400000003414
gb32_old,3,1,1,3,2,0.0060462000000143235
sha384WithRSAEncryption,2,3,4,0,1,0.006051099999967846
RSA-SHA512,4,0,1,3,2,0.00610820000001695
RSA-SHA384,2,5,1,2,0,0.006215500000007523
RSA-SHA224,0,3,5,1,1,0.006317099999978382
id-rsassa-pkcs1-v1_5-with-sha3-224,3,2,2,2,1,0.006534600000031787
blake2b512,2,4,1,2,1,0.006671599999958744
RSA-RIPEMD160,2,3,1,2,2,0.006787099999974089
djb2,4,4,0,1,1,0.007466600000020663
graham,1,3,4,0,2,0.007758900000044378
gb32,2,2,0,5,1,0.013075299999968593
fnv1a,0,4,2,1,3,0.013775700000019242
gb64,4,1,2,1,2,0.017439200000035272
custom,3,2,2,2,1,0.019495899999992617
RSA-MD5,1,1,2,3,3,0.028553899999997155
